section,name,value,evidence,suggestion
summary,判定,三阶低通系统,,
summary,置信度,0.99,,
summary,Top3,低通/3阶 0.99 / 低通/2阶 0.70 / 低通/1阶 0.66,,
summary,关键频率,截止频率 897.8 Hz,,
summary,测量健康,A 可直接验收（100/100）,,
summary,测量质量,无削顶；输入RMS中位数 0.4240 V；输出RMS中位数 0.0040 V；PA1 DC约 1.639 V；高频阻带可能接近噪声底,,
summary,AI结论,当前数据可作为 三阶低通系统 的稳定演示样本，关键频率约 897.8 Hz，等效传函可信度较高。,,
summary,控制校正,超前校正: 推荐 超前校正，PM未知，预计校正后 PM 58.0°。,,
summary,测量补扫,当前数据已覆盖主要特征频段，识别置信度和模型拟合质量较高，无需继续智能补扫。,,
summary,故障证据,暂未触发故障知识库规则,,
summary,下一步建议,超前校正: 推荐 超前校正，PM未知，预计校正后 PM 58.0°。；先将控制器比例增益设为 K=2.37，把目标频率处开环幅值拉到 0 dB。 超前环节把零点放在 8.31e+03 rad/s，极点放在 1.54e+04 rad/s；实际电路或数字控制器先按该传递函数仿真，再微调增益。；当前数据已覆盖主要特征频段，识别置信度和模型拟合质量较高，无需继续智能补扫。,,
candidate,lowpass/3,0.99,特征分=1.00; 拟合分=0.99; 传统分析分=1.00; 传统可靠锚定; R2=0.999,
candidate,lowpass/2,0.7041,特征分=0.91; 拟合分=0.97; 传统分析分=0.96; 传统可靠锚定; R2=0.991,
candidate,lowpass/1,0.661,特征分=0.97; 拟合分=0.62; 传统分析分=0.96; 传统可靠锚定; R2=0.814,
candidate,bandstop/2,0.07237,特征分=0.18; 拟合分=0.62; 传统分析分=0.00; 传统可靠锚定; R2=0.828,
candidate,bandpass/2,0.06654,特征分=0.18; 拟合分=0.56; 传统分析分=0.00; 传统可靠锚定; R2=0.796,
control_compensation,summary,超前校正: 推荐 超前校正，PM未知，预计校正后 PM 58.0°。,,
control_compensation,超前校正,0.8,目标频点 PM≈40.6°，目标 PM=50.0°；当前扫频未发现自然 0 dB 穿越；设计 ωgc≈1.13e+04 rad/s,先将控制器比例增益设为 K=2.37，把目标频率处开环幅值拉到 0 dB。 超前环节把零点放在 8.31e+03 rad/s，极点放在 1.54e+04 rad/s；实际电路或数字控制器先按该传递函数仿真，再微调增益。
ai_practical,conclusion,当前数据可作为 三阶低通系统 的稳定演示样本，关键频率约 897.8 Hz，等效传函可信度较高。,,
experiment_recommendation,,当前测量已经能支撑识别展示；无需为了同一结论继续补扫。,,
experiment_recommendation,,若要演示 AI 的实用性，换 RC 值做对照：R 或 C 增大 2 倍，理论截止频率约减半；R 或 C 减小 2 倍，理论截止频率约翻倍。,,
experiment_recommendation,,若演示自动控制校正，先按“控制校正建议”填写目标穿越 Hz，再重新导入同一组数据生成 K 或 Gc(s)。,,
measurement_suggestion,,当前数据已覆盖主要特征频段，识别置信度和模型拟合质量较高，无需继续智能补扫。,,
control_suggestion,,超前校正: 推荐 超前校正，PM未知，预计校正后 PM 58.0°。,,
control_suggestion,,先将控制器比例增益设为 K=2.37，把目标频率处开环幅值拉到 0 dB。 超前环节把零点放在 8.31e+03 rad/s，极点放在 1.54e+04 rad/s；实际电路或数字控制器先按该传递函数仿真，再微调增益。,,
