section,name,value,evidence,suggestion
summary,判定,三阶低通系统,,
summary,置信度,0.97,,
summary,Top3,低通/3阶 0.97 / 低通/2阶 0.69 / 低通/1阶 0.65,,
summary,关键频率,截止频率 905.9 Hz,,
summary,测量健康,A 可直接验收（100/100）,,
summary,测量质量,无削顶；输入RMS中位数 0.4240 V；输出RMS中位数 0.0040 V；PA1 DC约 1.640 V；高频阻带可能接近噪声底,,
summary,AI结论,当前数据可作为 三阶低通系统 的稳定演示样本，关键频率约 905.9 Hz，等效传函可信度较高。,,
summary,控制校正,未启用,,
summary,测量补扫,当前数据已覆盖主要特征频段，识别置信度和模型拟合质量较高，无需继续智能补扫。,,
summary,故障证据,暂未触发故障知识库规则,,
summary,下一步建议,当前数据已覆盖主要特征频段，识别置信度和模型拟合质量较高，无需继续智能补扫。,,
candidate,lowpass/3,0.9736,特征分=0.88; 拟合分=0.99; 传统分析分=1.00; 传统可靠锚定; R2=0.998,
candidate,lowpass/2,0.6906,特征分=0.82; 拟合分=0.97; 传统分析分=0.96; 传统可靠锚定; R2=0.988,
candidate,lowpass/1,0.6534,特征分=0.94; 拟合分=0.60; 传统分析分=0.96; 传统可靠锚定; R2=0.796,
candidate,bandstop/2,0.0729,特征分=0.18; 拟合分=0.63; 传统分析分=0.00; 传统可靠锚定; R2=0.835,
candidate,unknown/1,0.066,特征分=0.12; 拟合分=0.00; 传统分析分=0.00; 传统可靠锚定,
ai_practical,conclusion,当前数据可作为 三阶低通系统 的稳定演示样本，关键频率约 905.9 Hz，等效传函可信度较高。,,
experiment_recommendation,,当前测量已经能支撑识别展示；无需为了同一结论继续补扫。,,
experiment_recommendation,,若要演示 AI 的实用性，换 RC 值做对照：R 或 C 增大 2 倍，理论截止频率约减半；R 或 C 减小 2 倍，理论截止频率约翻倍。,,
experiment_recommendation,,若只演示滤波器识别，保持自动控制校正页关闭或不讲控制段，避免把滤波器验收和开环控制混在一起。,,
measurement_suggestion,,当前数据已覆盖主要特征频段，识别置信度和模型拟合质量较高，无需继续智能补扫。,,
